time,soc,power
2017-08-09 14:45:00+00:00,6.0,8.0
2017-08-09 15:00:00+00:00,6.0,4.0
2017-08-09 15:15:00+00:00,6.0,8.0
2017-08-09 15:30:00+00:00,6.0,8.0
2017-08-09 15:45:00+00:00,6.0,8.0
2017-08-09 16:00:00+00:00,6.0,8.0
2017-08-09 16:15:00+00:00,6.0,8.0
2017-08-09 16:30:00+00:00,6.0,8.0
2017-08-09 16:45:00+00:00,6.0,4.0
2017-08-09 17:00:00+00:00,6.0,12.0
2017-08-09 17:15:00+00:00,6.0,8.0
2017-08-09 17:30:00+00:00,6.0,4.0
2017-08-09 17:45:00+00:00,6.0,12.0
2017-08-09 18:00:00+00:00,6.0,8.0
2017-08-09 18:15:00+00:00,6.0,4.0
2017-08-09 18:30:00+00:00,6.0,8.0
2017-08-09 18:45:00+00:00,6.0,12.0
2017-08-09 19:00:00+00:00,6.0,4.0
2017-08-09 19:15:00+00:00,6.0,8.0
2017-08-09 19:30:00+00:00,6.0,12.0
2017-08-09 19:45:00+00:00,6.0,8.0
2017-08-09 20:00:00+00:00,6.0,4.0
2017-08-09 20:15:00+00:00,6.0,8.0
2017-08-09 20:30:00+00:00,6.0,8.0
2017-08-09 20:45:00+00:00,6.0,8.0
2017-08-09 21:00:00+00:00,6.0,8.0
2017-08-09 21:15:00+00:00,6.0,8.0
2017-08-09 21:30:00+00:00,6.0,8.0
2017-08-09 21:45:00+00:00,6.0,8.0
2017-08-09 22:00:00+00:00,6.0,4.0
2017-08-09 22:15:00+00:00,6.0,8.0
2017-08-09 22:30:00+00:00,6.0,8.0
2017-08-09 22:45:00+00:00,6.0,8.0
2017-08-09 23:00:00+00:00,6.0,8.0
2017-08-09 23:15:00+00:00,6.0,4.0
2017-08-09 23:30:00+00:00,6.0,12.0
2017-08-09 23:45:00+00:00,6.0,8.0
2017-08-10 00:00:00+00:00,6.0,8.0
2017-08-10 00:15:00+00:00,6.0,4.0
2017-08-10 00:30:00+00:00,6.0,8.0
2017-08-10 00:45:00+00:00,6.0,8.0
2017-08-10 01:00:00+00:00,6.0,12.0
2017-08-10 01:15:00+00:00,6.0,4.0
2017-08-10 01:30:00+00:00,6.0,8.0
2017-08-10 01:45:00+00:00,6.0,8.0
2017-08-10 02:00:00+00:00,6.0,8.0
